Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
219 steps/s (43.8 µm/s) | Expected: 0.601 s | Actual: 0.193 s | Effective: 2084.99 steps/s | Overridden: YES
220 steps/s (44.0 µm/s) | Expected: 0.599 s | Actual: 0.177 s | Effective: 3131.20 steps/s | Overridden: YES
221 steps/s (44.2 µm/s) | Expected: 0.597 s | Actual: 0.176 s | Effective: 3156.56 steps/s | Overridden: YES
222 steps/s (44.4 µm/s) | Expected: 0.595 s | Actual: 0.177 s | Effective: 3121.60 steps/s | Overridden: YES
223 steps/s (44.6 µm/s) | Expected: 0.593 s | Actual: 0.176 s | Effective: 3137.04 steps/s | Overridden: YES
224 steps/s (44.8 µm/s) | Expected: 0.591 s | Actual: 0.176 s | Effective: 3153.87 steps/s | Overridden: YES
225 steps/s (45.0 µm/s) | Expected: 0.589 s | Actual: 0.176 s | Effective: 3163.82 steps/s | Overridden: YES
226 steps/s (45.2 µm/s) | Expected: 0.587 s | Actual: 0.177 s | Effective: 3123.61 steps/s | Overridden: YES
227 steps/s (45.4 µm/s) | Expected: 0.585 s | Actual: 0.176 s | Effective: 3165.22 steps/s | Overridden: YES
228 steps/s (45.6 µm/s) | Expected: 0.583 s | Actual: 0.161 s | Effective: 6247.42 steps/s | Overridden: YES
229 steps/s (45.8 µm/s) | Expected: 0.581 s | Actual: 0.161 s | Effective: 6237.29 steps/s | Overridden: YES
230 steps/s (46.0 µm/s) | Expected: 0.579 s | Actual: 0.160 s | Effective: 6451.78 steps/s | Overridden: YES
231 steps/s (46.2 µm/s) | Expected: 0.577 s | Actual: 0.161 s | Effective: 6237.60 steps/s | Overridden: YES
